Код,Проект,Хто повідомив,Кому призначена,Пріоритет,Серйозність,Відтворюваність,Версія продукту,Категорія,Зареєстрована,ОС,Версія,Платформа,Рівень доступу,Оновлена,Статистика,Статус,Резолюція,Виправлена у версії
0001313,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Ошибка локализации при переходе на другую страницу,нова,відкрита,
0001312,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Смешанная локализация в разделе “FEED”,нова,відкрита,
0001311,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Отсутствие валидации при заполнении формы обратной связи в футере на главной странице,нова,відкрита,
0001310,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Ошибка локализации при переходе на другую страницу,нова,відкрита,
0001309,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Нет возможности вернуться на главную страницу сайта,нова,відкрита,
0001308,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Отсутствие валидации при оформлении заявки на бесплатные курсы программирования,нова,відкрита,
0001307,QA31,Elena,,нормальний,значна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Отсутствие уведомления о перенаправлении в другое приложение при переходе в Skype в окне формы обратной связи в футере,нова,відкрита,
0001306,QA31,Elena,,високий,значна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Отсутствие уведомления о перенаправлении в другое приложение при переходе в Viber в окне формы обратной связи в футере,нова,відкрита,
0001305,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Смешанная локализация в разделе отзывов на главной странице,нова,відкрита,
0001304,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,Ошибка локализации в форме обратной связи в футере страницы,нова,відкрита,
0001303,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[L10N] Отсутствует EN локализация имен сотрудников в блоке ""VUE.JS DEVELOPER"" в разделе ""Outstaffing""",нова,відкрита,
0001301,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[L10N] Частичная EN локализация в разделе ""Логистика и транспорт""",нова,відкрита,
0001300,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[ L10N] Отсутствует EN локализация при регистрации на курс в разделе ""Courses""",нова,відкрита,
0001299,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[ L10N] Отсутствует EN  локализация при выборе ""Backend developers"" в разделе ""Outstaffing""",нова,відкрита,
0001298,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[ L10N] Отсутствует UA  локализация комментариев в разделе ""Що про нас кажуть наші клієнти""",нова,відкрита,
0001297,QA31,Elena Gusarenko123,,високий,значна,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[Гусаренко] Ошибка ""Страница не найдена"" при переходе в Google Play для загрузки приложения Bazar.club",нова,відкрита,
0001296,QA31,Elena Gusarenko123,,нормальний,текст,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[Гусаренко] Грамматическая ошибка при UA локализации в слове ""Программист""в 8 вакансие в разделе ""Вакансії""",нова,відкрита,
0001295,QA31,Elena Gusarenko123,,нормальний,текст,завжди,,General,2023-07-18,,,,спільна,2023-07-18,"[Гусаренко] Грамматическая ошибка при UA локализации в слове ""Программист"" в разделе ""Вакансії""",нова,відкрита,
0001294,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-17,,,,спільна,2023-07-17,"[Гусаренко] Отсутствует валидация в форме ввода телефона  в разделе ""Расчет стоимости"" в хедере",нова,відкрита,
0001293,QA31,Elena Gusarenko123,,низький,текст,завжди,,General,2023-07-17,,,,спільна,2023-07-17,"[Гусаренко] Грамматическая ошибка в слове ""Виберите"" в разделе ""Расчет стоимости"" в хедере",нова,відкрита,
0001260,QA31,Spacearth,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Отсутствует правая нить крепления крайней колбасы справа над барной стойкой,нова,відкрита,
0001259,QA31,Vishn567890,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,[Вишнивецкая]Текстура музыкального инструмента перекрывает тексуру громофона в левой части изображения,нова,відкрита,
0001258,QA31,Yulia,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,[Болкун] Мішок висить в повітрі перед стоячим на підлозі стільцем в правій нижній частині картинки,нова,відкрита,
0001257,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Дужка звезды висит рядом с шеей чучела кабана  расположенного в хедере,нова,відкрита,
0001256,QA31,demich7,,низький,незначна,не можу відтворити,,General,2023-07-05,,,,спільна,2023-07-05,"Наложение изображения ""Балалайка перекрывает граммофон""",нова,відкрита,
0001255,QA31,Olena1409,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Штопор висить у повітрі над барною стійкою в header/rigth,нова,відкрита,
0001254,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Расположение глиняного горшка по центру на стойке,нова,відкрита,
0001253,QA31,Vishn567890,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,[Вишнивецкая]Текстура дверей перекрывает текстуру отверстия для ключа в дверном замке,нова,відкрита,
0001252,QA31,PanZerA,,низький,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Нарушена перспектива в изображении пивного бочонка в правой части барной стойки.,нова,відкрита,
0001251,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Изображение метлы наложено на изображение трубки от волынки справа в футере,нова,відкрита,
0001250,QA31,Olena1409,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"Перекриття об*єкта ""мітла"" на задньому плані, об*єкт ""волинка"" на передьому плані",нова,відкрита,
0001249,QA31,CUD,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Замок висит в воздухе внизу по центру барной стойки.,нова,відкрита,
0001248,QA31,Yulia,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,[Болкун] Лісові горіхи непропорційно великі відносно стільця в правій нижній частині картинки,нова,відкрита,
0001247,QA31,Zhdana,,нормальний,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"Сокира не зафіксована над барною стійкою, висить в повітрі",нова,відкрита,
0001246,QA31,Elena Gusarenko123,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Наложение мешка по центру на стул ножки,нова,відкрита,
0001244,QA31,PanZerA,,низький,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Слияние текстур ручки топора и деревянной отделки,нова,відкрита,
0001245,QA31,Olena1409,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Солонка висить у повітрі у правій стороні зображення,нова,відкрита,
0001243,QA31,CUD,,нормальний,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,Штопор весит в воздухе посредине в хедер.,нова,відкрита,
0001242,QA31,demich7,,високий,значна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"Серьга ""звезда"" находится в воздухе дальше уха",нова,відкрита,
0001241,QA31,Spacearth,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Соломка находится снаружи от деревянного стакана в футере картины на ближнем столике.,нова,відкрита,
0001240,QA31,Elena,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Наслоение изображения крысы на изображение ножки стула между двумя столами,нова,відкрита,
0001239,QA31,Vishn567890,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"[Вишнивецкая]Текстура стрелы не зафиксирована в текстуре стены , находится вне ее ,в правой части изображения над барной стойкой",нова,відкрита,
0001238,QA31,Yulia,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,[Болкун] Деревяна дошка для нарізання висить в повітрі,нова,відкрита,
0001232,QA31,Elena,,нормальний,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,По центру изображения слева от бочки солонка висит в воздухе,нова,відкрита,
0001237,QA31,Zhdana,,високий,значна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Сільничка висить в повітрі з-заду правого стола,нова,відкрита,
0001236,QA31,PanZerA,,низький,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Солонка парит в воздухе по центру изображения на контрастном фоне,нова,відкрита,
0001231,QA31,CUD,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Ключи висят в воздухе за клыком на голове кабана слева вверху.,нова,відкрита,
0001235,QA31,Elena Gusarenko123,,нормальний,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,[Гусаренко] Не корректно расположение мыши на стуле слева,нова,відкрита,
0001234,QA31,Olena1409,,нормальний,доводка,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"Перекриття об*єкта ""палиця"",  перекриває дерев*яну кружку, яка розташована на передньому плані",нова,відкрита,
0001233,QA31,Vishn567890,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Текстура банки висит в воздухе по центру изображения,нова,відкрита,
0001230,QA31,demich7,,низький,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,Грязный отпечаток руки на окне,нова,відкрита,
0001228,QA31,Yulia,,нормальний,незначна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,"[Болкун] Надпис на вікні розташовано в звичайному, а не дзеркальному вигляді",нова,відкрита,
0001229,QA31,PanZerA,,низький,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Отпечаток руки явно бросается в глаза из-за контраста,нова,відкрита,
0001227,QA31,Vishn567890,,нормальний,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,Текстура мешка висит в воздухе,нова,відкрита,
0001225,QA31,Zhdana,,нормальний,значна,не можу відтворити,,General,2023-07-05,,,,спільна,2023-07-05,Ніж висить в повітрі біля ніжки лівого стола,нова,відкрита,
0001226,QA31,Elena,,нормальний,незначна,не пробував,,General,2023-07-05,,,,спільна,2023-07-05,Наслоение изображения трости на столе в футере,нова,відкрита,
0001224,QA31,PanZerA,,низький,банальна,завжди,,General,2023-07-05,,,,спільна,2023-07-05,Нечёткое изображение фигуры по центру стола,нова,відкрита,
